Duration rec part,Total time distribution,Slowest time single distribution,Total time join,Slowest time single join,Total time,Percentage of time spent in recPart,Sample input before duplication,Total sample input after duplication,Estimated Input overhead,Real Input before duplication,Estimated Input after duplication,Real Input after duplication,Real Input overhead,Output size,lower bound workload per machine,workload of worst machine,Estimated workload overhead,real lower bound workload per machine,real workload of worst machine,real workload overhead
0.005983829498291016,0.07580113410949707,0.015950679779052734,0.09572005271911621,0.054711103439331055,0.0766456127166748,0.07807138968815616,50,113.0,1.26,1000,2260.0,3838,2.838,100341,75.8,142.88888888888889,0.8850776898270303,35420.2,63613,0.7959525920237606
0.007996559143066406,0.09798717498779297,0.0201570987701416,0.10198378562927246,0.05899238586425781,0.08714604377746582,0.0917604379550062,60,169.0,1.8166666666666667,1200,3379.9999999999995,6995,4.829166666666667,142468,112.6,271.6666666666667,1.4126702190645355,56473.6,96942,0.7165896985494108
0.011988401412963867,0.10598444938659668,0.021941184997558594,0.15892243385314941,0.05791044235229492,0.09184002876281738,0.13053568878908633,70,178.66666666666663,1.5523809523809518,1400,3573.3333333333326,6238,3.4557142857142855,196415,165.0,397.7037037037037,1.4103254769921436,64235.0,94110,0.4650891258659609
0.014930009841918945,0.11809587478637695,0.024106979370117188,0.20295310020446777,0.08700370788574219,0.12604069709777832,0.11845388184688255,80,162.0,1.025,1600,3240.0,5052,2.1575,255256,178.0,294.0,0.651685393258427,71259.2,138094,0.9379111749781082
0.017069578170776367,0.13498353958129883,0.027010679244995117,0.25199437141418457,0.10800647735595703,0.15208673477172852,0.11223581199502115,90,189.33333333333331,1.1037037037037034,1800,3786.6666666666665,6535,2.6305555555555555,323441,214.8,438.1111111111111,1.0396234223049863,90828.2,168747,0.8578701328442049
0.017035245895385742,0.145982027053833,0.029993295669555664,0.3119971752166748,0.16601300239562988,0.2130415439605713,0.07996208428971273,100,246.66666666666666,1.4666666666666666,2000,4933.333333333334,6595,2.2975,399347,282.0,643.7777777777777,1.2828999211977934,106249.4,246035,1.3156366059478926
0.02700495719909668,0.1629955768585205,0.03299736976623535,0.3709719181060791,0.2200031280517578,0.28000545501708984,0.09644439676165759,110,217.66666666666666,0.9787878787878787,2200,4353.333333333333,5334,1.4245454545454546,486045,300.8,589.8888888888888,0.961066784869976,118545.0,310953,1.623079843097558
0.0300290584564209,0.18106842041015625,0.037085533142089844,0.4549381732940674,0.2139437198638916,0.28105831146240234,0.10684280532453827,120,267.3333333333333,1.2277777777777776,2400,5346.666666666667,8823,2.67625,570423,379.4,786.8888888888888,1.0740350260645461,149376.6,333740,1.2342187464435526
0.03507518768310547,0.1959528923034668,0.03996133804321289,0.5209977626800537,0.2554500102996826,0.330486536026001,0.10613197168294304,130,318.0,1.4461538461538461,2600,6360.000000000001,8695,2.3442307692307693,665070,439.4,933.0,1.1233500227583069,167794.0,394154,1.3490351264049967
0.046041011810302734,0.20999526977539062,0.04297447204589844,0.5890045166015625,0.3450171947479248,0.434032678604126,0.10607729343876428,140,290.66666666666663,1.076190476190476,2800,5813.333333333332,7034,1.5121428571428572,766732,452.4,847.5555555555555,0.8734649769132529,181482.4,500992,1.7605541914808267
0.041025400161743164,0.22299432754516602,0.04501819610595703,0.6989972591400146,0.3440232276916504,0.4300668239593506,0.09539308283314789,150,349.3333333333333,1.3288888888888888,3000,6986.666666666666,10004,2.3346666666666667,881713,579.6,1179.2222222222222,1.0345448968637372,216358.6,508244,1.3490815710584187
0.05201578140258789,0.2380053997039795,0.048029422760009766,0.7843070030212402,0.449005126953125,0.5490503311157227,0.09473772886519685,160,334.3333333333333,1.0895833333333331,3200,6686.666666666666,8346,1.608125,993933,586.6,1097.111111111111,0.870288290336023,232170.6,645008,1.7781639880329378
0.06282925605773926,0.2518939971923828,0.05108451843261719,0.8800208568572998,0.5390670299530029,0.6529808044433594,0.09621914707171024,170,334.3333333333333,0.9666666666666666,3400,6686.666666666666,8142,1.3947058823529412,1114731,769.4,1457.111111111111,0.8938278023279324,255514.2,755795,1.957937367081751
0.0589907169342041,0.266493558883667,0.05393028259277344,0.9979932308197021,0.6220104694366455,0.734931468963623,0.08026696287395467,180,358.3333333333333,0.9907407407407406,3600,7166.666666666666,8332,1.3144444444444445,1240599,824.4,1573.111111111111,0.9081891207073158,281447.8,853490,2.0324983886887726
0.08907628059387207,0.2849462032318115,0.05701708793640137,1.0792782306671143,0.751990556716919,0.8980839252471924,0.09918480677555201,190,372.0,0.9578947368421052,3800,7439.999999999999,8304,1.1852631578947368,1384932,946.8,1742.3333333333333,0.8402337698915646,310202.4,1040707,2.3549289109304117
0.08878827095031738,0.3049964904785156,0.061966896057128906,1.2509937286376953,0.5500028133392334,0.7007579803466797,0.1267031891758007,200,518.3333333333333,1.5916666666666663,4000,10366.666666666666,14250,2.5625,1534714,999.8,2357.0,1.35747149429886,363942.8,619268,0.7015531012016174
0.12004423141479492,0.3129913806915283,0.0633995532989502,1.3319945335388184,0.8919229507446289,1.075366735458374,0.11163096965578555,210,428.3333333333333,1.0396825396825395,4200,8566.666666666666,9432,1.2457142857142858,1696571,1001.0,1852.7777777777776,0.8509268509268507,377042.2,1218952,2.23293254707298
0.10591673851013184,0.32608962059020996,0.0661323070526123,1.5270295143127441,1.0690162181854248,1.241065263748169,0.0853434074774201,220,434.66666666666663,0.9757575757575756,4400,8693.333333333332,9141,1.0775,1872066,1147.4,2152.555555555555,0.8760288962485228,410977.2,1379866,2.357524456344537
