Sample size,Time,Duplication overhead,Workload overhead
100,0.18440937995910645,1.3466666666666667,1.1582384608595886
200,0.7505712509155273,1.2916666666666665,0.9635350595726685
300,2.2629246711730957,1.0177777777777774,0.7659432466897874
